userid,version,sum_gamerounds,retention_1,retention_7
12053,gate_30,11,True,False
13872,gate_30,1,False,False
20940,gate_40,1,False,False
25332,gate_30,152,True,True
27605,gate_30,19,True,False
34647,gate_40,8,False,False
36673,gate_30,5,False,False
37155,gate_40,3,False,False
37303,gate_30,177,True,True
42758,gate_40,11,True,False
51155,gate_30,34,False,False
58813,gate_40,1,False,False
65452,gate_30,16,False,False
69927,gate_30,1906,True,True
76133,gate_30,50,False,False
76895,gate_40,5,False,False
77172,gate_30,0,False,False
82937,gate_40,28,False,False
84816,gate_40,11,True,False
87098,gate_40,2,False,False
87410,gate_30,26,False,False
99252,gate_40,48,True,False
99631,gate_40,9,True,False
102573,gate_40,34,False,False
103308,gate_40,3,False,False
108608,gate_30,7,False,False
114859,gate_30,23,False,False
116793,gate_40,275,True,True
117868,gate_30,190,True,False
118654,gate_40,192,False,True
124004,gate_30,16,False,False
127487,gate_30,200,True,True
129156,gate_40,15,False,False
132928,gate_40,139,True,True
137520,gate_30,9,True,False
144553,gate_30,9,False,False
146981,gate_40,12,False,False
147507,gate_40,7,False,False
149272,gate_40,42,False,True
150936,gate_40,2,False,False
153715,gate_40,7,False,False
154490,gate_40,117,True,True
155074,gate_30,9,True,False
157149,gate_40,1,False,False
159637,gate_30,2,False,False
177477,gate_40,36,True,False
182409,gate_40,2,False,False
183758,gate_30,23,True,False
188813,gate_30,27,True,False
195667,gate_40,17,False,False
196073,gate_30,53,True,True
202542,gate_30,26,True,False
205938,gate_30,29,True,False
211196,gate_30,0,False,False
212593,gate_40,83,True,False
215414,gate_30,2,False,False
223761,gate_30,183,True,False
227739,gate_40,11,False,False
228599,gate_30,7,False,False
228723,gate_40,299,True,True
229306,gate_30,27,False,False
238069,gate_40,256,True,True
238817,gate_30,2,False,False
241792,gate_40,75,True,False
243889,gate_30,1,False,False
249044,gate_40,3,False,False
253657,gate_40,386,True,True
255657,gate_40,187,True,True
256036,gate_40,3,False,False
258612,gate_30,277,True,True
263338,gate_30,11,False,False
269182,gate_30,312,True,True
269552,gate_40,23,True,True
274744,gate_30,37,True,False
278480,gate_40,0,False,False
279879,gate_30,5,False,False
286331,gate_40,8,False,True
287656,gate_40,9,False,False
287845,gate_40,10,False,False
299394,gate_40,6,False,False
300711,gate_40,98,True,False
300878,gate_40,1,False,False
301461,gate_30,13,False,False
304618,gate_40,83,False,True
306355,gate_30,5,False,False
306691,gate_40,11,True,False
320190,gate_40,20,True,False
323628,gate_40,144,True,True
330173,gate_30,2,False,False
330203,gate_40,5,True,False
332108,gate_30,1,False,False
341402,gate_40,33,False,False
342058,gate_30,1,False,False
346884,gate_30,6,False,False
351078,gate_40,2,False,False
353367,gate_40,18,True,False
355680,gate_30,253,True,False
358649,gate_40,19,True,False
359234,gate_40,5,False,False
359399,gate_30,30,True,False
363086,gate_30,3,False,False
365570,gate_30,113,True,True
366880,gate_30,34,True,True
367541,gate_40,21,True,False
375205,gate_30,206,True,False
380206,gate_40,1,False,False
387127,gate_40,6,False,False
395411,gate_40,45,True,False
398917,gate_30,34,True,False
405190,gate_30,15,True,False
405380,gate_40,50,True,True
413749,gate_30,17,False,False
414800,gate_30,31,True,True
436913,gate_30,3,False,False
439010,gate_40,0,False,False
444112,gate_30,18,True,False
445266,gate_30,97,True,True
450969,gate_30,29,False,False
451838,gate_40,15,False,False
455957,gate_30,256,False,True
460918,gate_40,9,False,False
461975,gate_30,56,True,False
465169,gate_30,3,False,False
465962,gate_30,8,False,False
469757,gate_40,3,True,False
471288,gate_30,4,False,False
474853,gate_30,4,False,False
476646,gate_40,56,False,True
476680,gate_40,6,False,False
483733,gate_40,35,True,False
483804,gate_30,1,True,True
484362,gate_40,18,True,False
487023,gate_30,0,False,False
490062,gate_30,153,False,True
491219,gate_40,1,False,False
508017,gate_30,11,False,False
517022,gate_40,15,False,True
517843,gate_40,8,False,False
519116,gate_30,53,True,False
520069,gate_30,20,False,False
521160,gate_30,4,False,False
522691,gate_30,67,True,True
526419,gate_30,38,True,True
528276,gate_40,0,False,False
540172,gate_30,12,True,False
542871,gate_30,81,True,True
548293,gate_40,6,False,False
551957,gate_40,154,True,False
559330,gate_30,7,False,False
559578,gate_40,0,False,False
560899,gate_40,13,False,False
561750,gate_30,306,True,True
563974,gate_40,8,False,False
566360,gate_40,7,True,False
572564,gate_40,60,False,True
578725,gate_40,10,True,False
586018,gate_30,5,False,False
592494,gate_30,6,False,False
594939,gate_30,35,True,False
600287,gate_40,34,True,False
602539,gate_40,160,True,True
603694,gate_40,66,True,False
603975,gate_40,0,False,False
604449,gate_40,21,True,False
608232,gate_30,18,False,False
615262,gate_30,7,False,False
621110,gate_30,24,False,False
622261,gate_40,36,True,False
624301,gate_40,1,False,False
628503,gate_30,58,True,False
631514,gate_30,1,False,False
631930,gate_30,144,True,False
632579,gate_30,89,True,True
632815,gate_30,33,True,False
632818,gate_40,4,True,False
636805,gate_40,117,False,False
638314,gate_40,212,True,True
640979,gate_40,13,True,False
644320,gate_40,599,True,True
646201,gate_30,28,False,False
648248,gate_40,3,False,False
652196,gate_30,384,True,True
662561,gate_40,6,False,False
673867,gate_40,18,True,False
679228,gate_30,27,False,False
680854,gate_30,15,False,False
682101,gate_40,38,True,False
683615,gate_40,14,False,False
689374,gate_40,52,True,False
689517,gate_40,4,False,False
695279,gate_30,27,False,False
698186,gate_40,5,False,False
699366,gate_30,313,True,False
700635,gate_40,239,True,True
701836,gate_30,381,True,False
703485,gate_30,0,False,False
709278,gate_30,439,True,True
710417,gate_30,7,False,False
712678,gate_30,59,True,False
714168,gate_30,2,True,False
717454,gate_40,9,False,False
720716,gate_40,30,True,False
727206,gate_40,43,True,True
733104,gate_40,92,True,True
737755,gate_40,80,False,False
739553,gate_40,14,True,False
740944,gate_30,0,False,False
741625,gate_30,4,False,False
745202,gate_40,94,False,False
750144,gate_30,222,True,True
754674,gate_30,9,False,False
756770,gate_30,23,False,False
760285,gate_30,105,True,True
765373,gate_30,50,True,True
767267,gate_40,7,False,False
767441,gate_40,12,False,False
768322,gate_40,412,True,True
769988,gate_30,0,False,False
773499,gate_40,74,False,False
779842,gate_40,14,False,False
783754,gate_40,5,True,False
791107,gate_40,121,True,False
791686,gate_40,19,False,False
791757,gate_40,3,False,False
794472,gate_30,4,False,False
799319,gate_40,129,True,False
800567,gate_30,295,True,True
807046,gate_40,3,False,False
807416,gate_30,0,False,False
808216,gate_40,3,False,False
809434,gate_40,1,False,False
809574,gate_40,68,True,True
811261,gate_40,8,False,False
821395,gate_40,35,True,False
828642,gate_40,0,False,False
833089,gate_40,60,True,False
833757,gate_40,6,False,False
845943,gate_40,88,True,True
846571,gate_30,59,True,False
850256,gate_30,86,True,True
852015,gate_40,103,False,False
853743,gate_40,22,False,False
853855,gate_30,10,True,False
854681,gate_30,4,True,False
857113,gate_30,2,False,False
864974,gate_40,19,False,False
865466,gate_30,27,True,False
865539,gate_30,24,False,False
869149,gate_30,308,True,True
880175,gate_30,14,False,False
888542,gate_40,63,True,False
891077,gate_40,12,False,False
891446,gate_40,113,True,True
891604,gate_30,10,False,False
895364,gate_30,9,False,False
895411,gate_30,66,True,False
895939,gate_30,18,False,False
900863,gate_30,6,True,False
902165,gate_30,50,True,False
906488,gate_40,0,False,False
906510,gate_40,0,False,False
910250,gate_30,12,False,False
910692,gate_40,18,True,False
916409,gate_40,8,True,False
916587,gate_40,23,True,False
917133,gate_30,82,True,False
919913,gate_30,22,True,False
932088,gate_30,26,True,True
934207,gate_40,1,False,False
935940,gate_30,153,True,True
936475,gate_30,6,False,False
939074,gate_40,31,False,False
939131,gate_40,134,True,True
943761,gate_30,13,False,False
945658,gate_40,90,True,False
946807,gate_40,29,False,True
948023,gate_30,21,False,True
961159,gate_30,6,False,False
963563,gate_40,77,False,False
966060,gate_40,8,False,False
966527,gate_30,17,True,False
967570,gate_30,8,False,False
971310,gate_30,18,False,True
971883,gate_30,2,False,False
972815,gate_40,142,True,False
973382,gate_30,117,False,False
976043,gate_30,0,False,False
976882,gate_30,100,True,False
980364,gate_40,20,False,False
985186,gate_30,7,False,False
990033,gate_30,50,True,False
992771,gate_40,35,True,False
993583,gate_40,226,True,True
1001288,gate_40,49,True,True
1006508,gate_30,25,True,True
1008220,gate_40,103,True,True
1008253,gate_40,2,False,False
1012505,gate_40,77,True,True
1012693,gate_30,55,True,True
1012792,gate_30,15,False,False
1020582,gate_40,25,True,False
1020787,gate_40,8,True,False
1024548,gate_40,1,False,False
1029818,gate_40,1,False,False
1033659,gate_40,139,True,True
1037937,gate_40,0,False,False
1039605,gate_40,0,False,False
1040897,gate_40,94,True,False
1044113,gate_40,4,True,False
1044934,gate_30,9,False,False
1046577,gate_30,44,True,False
1051938,gate_30,1,False,False
1055806,gate_40,53,True,False
1058230,gate_30,29,True,False
1062997,gate_40,72,True,True
1063842,gate_30,15,False,False
1064639,gate_30,3,False,False
1071128,gate_30,1063,True,True
1079912,gate_40,19,False,False
1080667,gate_30,5,False,False
1081294,gate_30,19,False,False
1084155,gate_30,54,True,True
1087305,gate_40,59,True,True
1087310,gate_30,2,False,False
1089927,gate_40,9,False,False
1090165,gate_30,0,False,False
1092122,gate_30,0,False,False
1093460,gate_40,13,True,False
1099627,gate_40,111,True,False
1101526,gate_30,76,False,False
1102950,gate_30,32,True,False
1109845,gate_30,0,False,False
1111268,gate_40,3,True,False
1119462,gate_40,2,False,False
1120451,gate_30,17,True,False
1134640,gate_30,7,False,False
1137375,gate_40,7,False,False
1139929,gate_30,46,True,False
1140827,gate_40,5,False,False
1140865,gate_40,97,True,False
1141837,gate_30,46,True,False
1144326,gate_40,2,False,False
1155489,gate_40,6,False,False
1157338,gate_30,15,False,False
1162254,gate_30,1,False,False
1165607,gate_30,14,True,False
1167938,gate_30,20,False,False
1169389,gate_30,12,True,False
1174091,gate_40,154,True,True
1174520,gate_40,515,True,True
1176495,gate_40,5,False,False
1177830,gate_40,4,False,False
1178924,gate_40,610,True,True
1181193,gate_30,177,True,False
1183896,gate_40,1,False,False
1189534,gate_30,18,True,False
1190968,gate_30,6,False,False
1197449,gate_40,146,False,True
1200323,gate_30,32,False,True
1200604,gate_40,147,True,True
1202665,gate_30,0,False,False
1205695,gate_30,24,False,False
1206001,gate_30,1,False,False
1207142,gate_40,71,True,False
1207794,gate_30,4,False,False
1209922,gate_40,1,False,False
1217015,gate_40,42,True,False
1222859,gate_30,3,False,False
1227115,gate_40,52,True,False
1230999,gate_40,79,True,True
1232423,gate_40,83,True,True
1243715,gate_40,1,False,False
1246442,gate_30,4,False,False
1247786,gate_40,44,True,False
1249131,gate_40,45,False,False
1259835,gate_40,10,True,False
1261444,gate_40,103,True,True
1263913,gate_30,1,False,False
1270038,gate_30,40,False,False
1276292,gate_30,1,False,False
1278000,gate_40,24,True,False
1282467,gate_40,26,True,False
1292390,gate_40,5,False,False
1294575,gate_40,1,False,False
1295988,gate_40,4,False,False
1298016,gate_30,12,False,False
1298387,gate_30,208,True,True
1299320,gate_40,35,True,False
1299572,gate_40,9,False,False
1299702,gate_30,223,True,True
1301436,gate_40,12,False,False
1303321,gate_30,0,False,False
1306286,gate_30,10,False,False
1309934,gate_40,9,False,False
1311595,gate_30,1,False,False
1313285,gate_40,106,True,True
1313570,gate_40,39,True,False
1324702,gate_40,22,True,False
1332832,gate_40,27,True,False
1333973,gate_40,135,True,True
1345860,gate_30,1,False,False
1348458,gate_30,8,True,False
1354739,gate_40,175,True,False
1356364,gate_40,159,False,True
1361795,gate_40,39,True,False
1363127,gate_30,33,True,False
1367137,gate_30,87,True,False
1373390,gate_30,2,True,False
1383215,gate_40,7,False,False
1385280,gate_40,21,False,False
1387730,gate_40,10,False,False
1388106,gate_30,2,False,False
1389771,gate_40,120,True,True
1393691,gate_40,66,True,True
1396998,gate_40,37,True,False
1398531,gate_40,1,False,False
1402922,gate_40,74,True,False
1412387,gate_40,174,True,False
1412473,gate_40,120,True,False
1416674,gate_40,22,True,False
1416868,gate_40,9,False,False
1417917,gate_30,69,True,False
1436300,gate_40,2,False,False
1440296,gate_40,5,False,False
1453543,gate_40,750,True,True
1456463,gate_40,2,False,False
1457321,gate_40,2,False,False
1459154,gate_30,47,False,False
1459366,gate_30,6,True,False
1465011,gate_30,2,False,False
1473243,gate_30,27,True,False
1476730,gate_40,0,False,False
1483307,gate_40,3,False,False
1489735,gate_30,17,False,True
1493640,gate_30,9,False,False
1496162,gate_30,4,False,False
1498878,gate_40,200,False,False
1499325,gate_30,18,False,False
1502058,gate_40,63,True,False
1503643,gate_30,17,False,False
1504243,gate_30,275,True,False
1512274,gate_30,90,True,False
1516978,gate_40,25,False,False
1517842,gate_30,6,False,False
1522695,gate_30,5,False,False
1525135,gate_40,2,False,False
1531689,gate_40,6,False,False
1535400,gate_40,21,False,False
1540217,gate_30,20,True,False
1540921,gate_30,6,False,False
1543490,gate_30,85,True,False
1544007,gate_40,1,False,False
1544498,gate_40,33,True,False
1545988,gate_30,18,False,True
