Invoice,StockCode,Description,Country
489438,20711,JUMBO BAG TOYS,United Kingdom
489438,21033,JUMBO BAG CHARLIE AND LOLA TOYS,United Kingdom
489438,21100,CHARLIE AND LOLA CHARLOTTE BAG,United Kingdom
489438,21252,SET OF MEADOW  FLOWER STICKERS,United Kingdom
489438,21329,DINOSAURS  WRITING SET,United Kingdom
489438,21410,COUNTRY COTTAGE  DOORSTOP GREEN,United Kingdom
489438,21411,GINGHAM HEART  DOORSTOP RED,United Kingdom
489438,84031A,CHARLIE+LOLA RED HOT WATER BOTTLE,United Kingdom
489438,84031B,CHARLIE LOLA BLUE HOT WATER BOTTLE,United Kingdom
489438,84032A,CHARLIE+LOLA PINK HOT WATER BOTTLE,United Kingdom
489438,84032B,CHARLIE + LOLA RED HOT WATER BOTTLE,United Kingdom
489438,84519A,TOMATO CHARLIE+LOLA COASTER SET,United Kingdom
489438,84519B,CARROT CHARLIE+LOLA COASTER SET,United Kingdom
489438,85132A,CHARLIE + LOLA BISCUITS TINS,United Kingdom
489438,85132C,CHARLIE AND LOLA FIGURES TINS,United Kingdom
489438,85183A,CHARLIE & LOLA WASTEPAPER BIN BLUE,United Kingdom
489438,85183B,CHARLIE & LOLA WASTEPAPER BIN FLORA,United Kingdom
489594,20675,BLUE SPOTTY BOWL,United Kingdom
489594,20676,RED SPOTTY BOWL,United Kingdom
489594,20725,LUNCH BAG RED SPOTTY,United Kingdom
489594,20726,LUNCH BAG WOODLAND,United Kingdom
489594,20975,12 PENCILS SMALL TUBE RED SPOTTY,United Kingdom
489594,20977,36 PENCILS TUBE WOODLAND,United Kingdom
489594,21034,REX CASH+CARRY JUMBO SHOPPER,United Kingdom
489594,21216,"SET 3 RED SPOT TIN TEA,COFFEE,SUGAR",United Kingdom
489594,21231,SWEETHEART CERAMIC TRINKET BOX,United Kingdom
489594,21232,STRAWBERRY CERAMIC TRINKET BOX,United Kingdom
489594,21791,VINTAGE HEADS AND TAILS CARD GAME,United Kingdom
489594,21875,KINGS CHOICE MUG,United Kingdom
489594,21929,JUMBO BAG PINK VINTAGE PAISLEY,United Kingdom
489594,21931,JUMBO STORAGE BAG SUKI,United Kingdom
489594,22055,MINI CAKE STAND  HANGING STRAWBERY,United Kingdom
489594,22055,MINI CAKE STAND  HANGING STRAWBERY,United Kingdom
489594,22062,CERAMIC BOWL WITH LOVE HEART DESIGN,United Kingdom
489594,22062,CERAMIC BOWL WITH LOVE HEART DESIGN,United Kingdom
489594,22064,PINK DOUGHNUT TRINKET POT,United Kingdom
489594,22065,CHRISTMAS PUDDING TRINKET POT,United Kingdom
489594,22068,BLACK PIRATE TREASURE CHEST,United Kingdom
489594,22114,HOT WATER BOTTLE TEA AND SYMPATHY,United Kingdom
489594,22131,FOOD CONTAINER SET 3 LOVE HEART,United Kingdom
489594,22187,GREEN CHRISTMAS TREE CARD HOLDER,United Kingdom
489594,22347,PIZZA SLICE DISH,United Kingdom
489594,22350,CAT BOWL,United Kingdom
489594,37447,CERAMIC CAKE DESIGN SPOTTED PLATE,United Kingdom
489594,37448,CERAMIC CAKE DESIGN SPOTTED MUG,United Kingdom
489594,37448,CERAMIC CAKE DESIGN SPOTTED MUG,United Kingdom
489594,37448,CERAMIC CAKE DESIGN SPOTTED MUG,United Kingdom
489594,37449,CERAMIC CAKE STAND + HANGING CAKES,United Kingdom
489594,37450,CERAMIC CAKE BOWL + HANGING CAKES,United Kingdom
489594,37450,CERAMIC CAKE BOWL + HANGING CAKES,United Kingdom
489594,37502,TEA TIME MUG IN GIFT BOX,United Kingdom
489594,37503,TEA TIME CAKE STAND IN GIFT BOX,United Kingdom
489594,72349B,SET/6 PURPLE BUTTERFLY T-LIGHTS,United Kingdom
489594,79302M,"ART LIGHTS,FUNK MONKEY",United Kingdom
489594,82482,WOODEN PICTURE FRAME WHITE FINISH,United Kingdom
489594,84507B,STRIPES DESIGN MONKEY DOLL,United Kingdom
489594,84507C,BLUE CIRCLES DESIGN MONKEY DOLL,United Kingdom
489594,84508A,CAMOFLAGE DESIGN TEDDY,United Kingdom
489594,84534B,FAIRY CAKE NOTEBOOK A5 SIZE,United Kingdom
489594,84535B,FAIRY CAKES NOTEBOOK A6 SIZE,United Kingdom
489594,84536B,FAIRY CAKES NOTEBOOK A7 SIZE,United Kingdom
489594,84596B,SMALL DOLLY MIX DESIGN ORANGE BOWL,United Kingdom
489594,84596E,SMALL LICORICE DES PINK BOWL,United Kingdom
489594,84596G,SMALL CHOCOLATES PINK BOWL,United Kingdom
489594,84596K,JELLY BABIES YELLOW SMALL BOWL,United Kingdom
489594,85042,ANTIQUE LILY FAIRY LIGHTS,United Kingdom
489594,85045,GREEN CHRISTMAS TREE STRING 20LIGHT,United Kingdom
489594,85099C,JUMBO  BAG BAROQUE BLACK WHITE,United Kingdom
489644,15056N,EDWARDIAN PARASOL NATURAL,United Kingdom
489644,20685,RED SPOTTY COIR DOORMAT,United Kingdom
489644,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom
489644,20724,RED SPOTTY CHARLOTTE BAG,United Kingdom
489644,21080,SET/20 RED SPOTTY PAPER NAPKINS,United Kingdom
489644,21080,SET/20 RED SPOTTY PAPER NAPKINS,United Kingdom
489644,21218,RED SPOTTY BISCUIT TIN,United Kingdom
489644,21407,BROWN CHECK CAT DOORSTOP,United Kingdom
489644,21479,WHITE SKULL HOT WATER BOTTLE,United Kingdom
489644,21481,FAWN BLUE HOT WATER BOTTLE,United Kingdom
489644,21484,CHICK GREY HOT WATER BOTTLE,United Kingdom
489644,21591,COSY HOUR CIGAR BOX MATCHES,United Kingdom
489644,21621,VINTAGE UNION JACK BUNTING,United Kingdom
489644,22111,SCOTTIE DOG HOT WATER BOTTLE,United Kingdom
489644,22113,GREY HEART HOT WATER BOTTLE,United Kingdom
489644,22114,HOT WATER BOTTLE TEA AND SYMPATHY,United Kingdom
489644,22189,CREAM HEART CARD HOLDER,United Kingdom
489644,22356,"CHARLOTTE BAG , PINK/WHITE SPOTS",United Kingdom
489644,37502,TEA TIME MUG IN GIFT BOX,United Kingdom
489644,47556B,TEA TIME TEA TOWELS,United Kingdom
489644,48185,DOOR MAT FAIRY CAKE,United Kingdom
489644,82482,WOODEN PICTURE FRAME WHITE FINISH,United Kingdom
489644,82494L,WOODEN FRAME ANTIQUE WHITE,United Kingdom
489644,85099B,JUMBO BAG RED WHITE SPOTTY,United Kingdom
489644,85099C,JUMBO  BAG BAROQUE BLACK WHITE,United Kingdom
489644,85099C,JUMBO  BAG BAROQUE BLACK WHITE,United Kingdom
489897,20871,OPULENT VELVET SET/3 CANDLES,United Kingdom
489897,20956,PORCELAIN T-LIGHT HOLDERS ASSORTED,United Kingdom
489897,21134,VICTORIAN METAL POSTCARD CHRISTMAS,United Kingdom
489897,21135,VICTORIAN  METAL POSTCARD SPRING,United Kingdom
489897,21349,IVY HEART WREATH,United Kingdom
489897,21490,SET OF THREE 50'S GIFT WRAPS,United Kingdom
489897,21790,VINTAGE SNAP CARDS,United Kingdom
489897,22130,PARTY CONE CHRISTMAS DECORATION,United Kingdom
489897,22147,FELTCRAFT BUTTERFLY HEARTS,United Kingdom
489897,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,United Kingdom
489897,84946,ANTIQUE SILVER TEA GLASS ETCHED,United Kingdom
489897,85032D,YULETIDE IMAGES GIFT WRAP SET,United Kingdom
489897,85049E,SCANDINAVIAN REDS RIBBONS,United Kingdom
490056,20668,DISCO BALL CHRISTMAS DECORATION,United Kingdom
490056,20828,GLITTER BUTTERFLY CLIPS,United Kingdom
490056,21590,KINGS CHOICE CIGAR BOX MATCHES,United Kingdom
490056,21592,RETRO SPOT  CIGAR BOX MATCHES,United Kingdom
490056,21955,UNION JACK GUNS & ROSES  DOORMAT,United Kingdom
490056,21993,FLORAL FOLK STATIONERY SET,United Kingdom
490056,22086,PAPER CHAIN KIT 50'S CHRISTMAS,United Kingdom
490056,22154,ANGEL DECORATION 3 BUTTONS,United Kingdom
490056,22155,STAR DECORATION RUSTIC,United Kingdom
490056,35817B,"ACRYLIC JEWEL SNOWFLAKE,BLUE",United Kingdom
490056,35824C,"HANGING FLOWERS+MIRROR,CLEAR",United Kingdom
490056,48173C,DOOR MAT BLACK FLOCK,United Kingdom
490056,51012C,"FEATHER DUSTER, COAL BLACK",United Kingdom
490056,75049L,LARGE CIRCULAR MIRROR MOBILE,United Kingdom
490056,84875A,PINK SQUARE COMPACT MIRROR,United Kingdom
490056,84875D,BLUE SQUARE COMPACT MIRROR,United Kingdom
490066,21385,IVORY HANGING DECORATION  HEART,United Kingdom
490066,72008,FROSTED BOX 9 WHITE T-LIGHT CANDLES,United Kingdom
490066,82482,WOODEN PICTURE FRAME WHITE FINISH,United Kingdom
490066,82494L,WOODEN FRAME ANTIQUE WHITE,United Kingdom
490066,84836,ZINC METAL HEART DECORATION,United Kingdom
490066,84879,ASSORTED COLOUR BIRD ORNAMENT,United Kingdom
490066,85123A,WHITE HANGING HEART T-LIGHT HOLDER,United Kingdom
490141,10135,COLOURING PENCILS BROWN TUBE,United Kingdom
490141,20914,SET/5 RED SPOTTY LID GLASS BOWLS,United Kingdom
490141,21440,12 MINI TOADSTOOL PEGS,United Kingdom
490141,21590,KINGS CHOICE CIGAR BOX MATCHES,United Kingdom
490141,21592,RETRO SPOT  CIGAR BOX MATCHES,United Kingdom
490141,21610,SET 12 PEAR BOTANICAL T-LIGHTS,United Kingdom
490141,21614,SET OF 12 ROSE BOTANICAL T-LIGHTS,United Kingdom
490141,21790,VINTAGE SNAP CARDS,United Kingdom
490141,21888,BINGO SET,United Kingdom
490141,22093,MOTORING TISSUE BOX,United Kingdom
490141,22139,RETRO SPOT TEA SET CERAMIC 11 PC,United Kingdom
490141,47503G,ASS FLORAL PRINT TAPE MEASURE,United Kingdom
490141,47505,MINATURE COLOURED GARDENING SET,United Kingdom
490141,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,United Kingdom
490141,85123A,WHITE HANGING HEART T-LIGHT HOLDER,United Kingdom
490141,90040D,MURANO STYLE GLASS BRACELET PINK,United Kingdom
490141,90042B,FRESHWATER PEARL BRACELET PINK,United Kingdom
490141,90120C,GREEN MURANO TWIST BRACELET,United Kingdom
490382,20685,RED SPOTTY COIR DOORMAT,Cyprus
490382,20750,RED/WHITE DOT MINI CASES,Cyprus
490382,20818,GOLD TEDDY BEAR,Cyprus
490382,20819,SILVER TEDDY BEAR,Cyprus
490382,21080,SET/20 RED SPOTTY PAPER NAPKINS,Cyprus
490382,21134,VICTORIAN METAL POSTCARD CHRISTMAS,Cyprus
490382,21136,PAINTED METAL PEARS ASSORTED,Cyprus
490382,21155,RED SPOTTY PEG BAG,Cyprus
490382,21164,HOME SWEET HOME METAL SIGN,Cyprus
490382,21181,PLEASE ONE PERSON  METAL SIGN,Cyprus
490382,21300,ANTIQUE EDWARDIAN DRESSER,Cyprus
490382,21462,"NURSERY A,B,C PAINTED LETTERS",Cyprus
490382,21527,RETRO SPOT TRADITIONAL TEAPOT,Cyprus
490382,21752,GLASS CAKE STAND MIRRORED BASE,Cyprus
490382,21770,OPEN CLOSED METAL SIGN,Cyprus
490382,22047,EMPIRE GIFT WRAP,Cyprus
490382,22084,PAPER CHAIN KIT EMPIRE,Cyprus
490382,22215,CAKE STAND WHITE TWO TIER LACE,Cyprus
490382,22218,CAKE STAND LACE WHITE,Cyprus
490382,22222,CAKE PLATE LOVEBIRD WHITE,Cyprus
490382,48116,DOOR MAT MULTICOLOUR STRIPE,Cyprus
490382,72760B,VINTAGE CREAM 3 BASKET CAKE STAND,Cyprus
490382,82552,WASHROOM METAL SIGN,Cyprus
490382,84509B,FAIRY CAKE PLACEMATS,Cyprus
490382,84520B,PACK 20 ENGLISH ROSE PAPER NAPKINS,Cyprus
490382,84926C,FAIRY CAKES TILE COASTER,Cyprus
490382,85053,FRENCH ENAMEL CANDLEHOLDER,Cyprus
490382,85055,FRENCH ENAMEL UTENSIL HOLDER,Cyprus
490382,85114C,RED ENCHANTED FOREST PLACEMAT,Cyprus
490382,85150,LADIES & GENTLEMEN METAL SIGN,Cyprus
490382,85152,HAND OVER THE CHOCOLATE   SIGN,Cyprus
490382,85232B,SET/3 RUSSIAN DOLL STACKING TINS,Cyprus
490396,20871,OPULENT VELVET SET/3 CANDLES,United Kingdom
490396,21078,SET/20 STRAWBERRY PAPER NAPKINS,United Kingdom
490396,21331,MOROCCAN BEATEN METAL DISH LARGE,United Kingdom
490396,21467,CHERRY CROCHET FOOD COVER,United Kingdom
490396,21621,VINTAGE UNION JACK BUNTING,United Kingdom
490396,21667,GLASS CAKE COVER AND PLATE,United Kingdom
490396,22111,SCOTTIE DOG HOT WATER BOTTLE,United Kingdom
490396,22275,WEEKEND BAG VINTAGE ROSE PAISLEY,United Kingdom
490396,37449,CERAMIC CAKE STAND + HANGING CAKES,United Kingdom
490396,82482,WOODEN PICTURE FRAME WHITE FINISH,United Kingdom
490396,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,United Kingdom
490396,84970L,SINGLE HEART ZINC T-LIGHT HOLDER,United Kingdom
490396,85065,CREAM SWEETHEART TRAYS,United Kingdom
490396,85067,CREAM SWEETHEART WALL CABINET,United Kingdom
490396,85099B,JUMBO BAG RED WHITE SPOTTY,United Kingdom
490474,15056BL,EDWARDIAN PARASOL BLACK,United Kingdom
490474,20679,EDWARDIAN PARASOL RED,United Kingdom
490474,20736,PINK MINI TAPE MEASURE,United Kingdom
490474,20738,GREEN MINI TAPE MEASURE,United Kingdom
490474,20754,RETRO RED SPOTTY WASHING UP GLOVES,United Kingdom
490474,20967,GREY FLORAL FELTCRAFT SHOULDER BAG,United Kingdom
490474,20969,RED FLORAL FELTCRAFT SHOULDER BAG,United Kingdom
490474,20971,PINK BLUE FELT CRAFT TRINKET BOX,United Kingdom
490474,21186,WHITE DOVE HONEYCOMB PAPER GARLAND,United Kingdom
490474,21191,LARGE WHITE HONEYCOMB PAPER BELL,United Kingdom
490474,21238,RED SPOTTY CUP,United Kingdom
490474,21239,PINK  SPOTTY CUP,United Kingdom
490474,21240,BLUE  SPOTTY CUP,United Kingdom
490474,21259,VICTORIAN SEWING BOX SMALL,United Kingdom
490474,21554,CERAMIC BIRDHOUSE RED ROOF LARGE,United Kingdom
490474,21655,HANGING RIDGE GLASS T-LIGHT HOLDER,United Kingdom
490474,21754,HOME BUILDING BLOCK WORD,United Kingdom
490474,21755,LOVE BUILDING BLOCK WORD,United Kingdom
490474,21756,BATH BUILDING BLOCK WORD,United Kingdom
490474,21843,RETRO SPOT CAKE STAND,United Kingdom
490474,21877,HOME SWEET HOME MUG,United Kingdom
490474,21903,MAN FLU METAL SIGN,United Kingdom
490474,22086,PAPER CHAIN KIT 50'S CHRISTMAS,United Kingdom
490474,22147,FELTCRAFT BUTTERFLY HEARTS,United Kingdom
490474,22149,FELTCRAFT 6 FLOWER FRIENDS,United Kingdom
490474,22349,"DOG BOWL , CHASING BALL DESIGN",United Kingdom
490474,71459,HANGING JAM JAR T-LIGHT HOLDER,United Kingdom
490474,72756,FAIRY CAKE CANDLES,United Kingdom
490474,82615,PINK MARSHMALLOW SCARF KNITTING KIT,United Kingdom
490474,82616A,BUBBLE GUM SCARF KNITTING KIT,United Kingdom
490474,84466,TOP SECRET PEN SET,United Kingdom
490474,84978,HANGING HEART JAR T-LIGHT HOLDER,United Kingdom
490474,84997B,RED 3 PIECE MINI DOTS CUTLERY SET,United Kingdom
490474,84997C,BLUE 3 PIECE MINI DOTS CUTLERY SET,United Kingdom
490474,84997D,PINK 3 PIECE MINI DOTS CUTLERY SET,United Kingdom
490751,15056BL,EDWARDIAN PARASOL BLACK,Austria
490751,15056N,EDWARDIAN PARASOL NATURAL,Austria
490751,15056P,EDWARDIAN PARASOL PINK,Austria
490751,20679,EDWARDIAN PARASOL RED,Austria
490751,21481,FAWN BLUE HOT WATER BOTTLE,Austria
490751,21482,MUSHROOM BLUE HOT WATER BOTTLE,Austria
490751,22061,LARGE CAKE STAND  HANGING STRAWBERY,Austria
490751,22067,CHOC TRUFFLE GOLD TRINKET POT,Austria
490751,22172,METAL SHELF WITH RAIL,Austria
490751,37448,CERAMIC CAKE DESIGN SPOTTED MUG,Austria
490751,37449,CERAMIC CAKE STAND + HANGING CAKES,Austria
490751,37503,TEA TIME CAKE STAND IN GIFT BOX,Austria
490751,48116,DOOR MAT MULTICOLOUR STRIPE,Austria
490751,48173C,DOOR MAT BLACK FLOCK,Austria
490751,72741,GRAND CHOCOLATECANDLE,Austria
490751,85014B,RED/WHITE DOTS RUFFLED UMBRELLA,Austria
490751,85014D,PINK/BROWN DOTS RUFFLED UMBRELLA,Austria
491061,21524,SPOTTY  HOME SWEET HOME DOORMAT,United Kingdom
491061,21655,HANGING RIDGE GLASS T-LIGHT HOLDER,United Kingdom
491061,21743,STAR PORTABLE TABLE LIGHT,United Kingdom
491061,21846,PINK DIAMANTE PEN IN GIFT BOX,United Kingdom
491061,21936,RED/WHITE SPOT PICNIC BAG,United Kingdom
491061,22149,FELTCRAFT 6 FLOWER FRIENDS,United Kingdom
491061,22310,KNITTED MUG COSY IVORY COLOUR,United Kingdom
491061,75049L,LARGE CIRCULAR MIRROR MOBILE,United Kingdom
491061,79323P,PINK CHERRY LIGHTS,United Kingdom
491061,84750B,BLACK SMALL GLASS CAKE STAND,United Kingdom
